id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
257,-,-,Sala vip,192.168.4.214,3/0/5,,,on/off,1.1.9,sensorMovimiento3,
258,-,-,Sala vip,192.168.4.214,2/0/0,,,on/off,1.1.10,interruptorPasillos,
259,-,-,Sala vip,192.168.4.214,2/0/2,,,on/off,1.1.10,interruptorPasillos,
260,-,-,Sala vip,192.168.4.214,2/0/1,,,on/off,1.1.10,interruptorPasillos,
261,-,-,Sala vip,192.168.4.214,2/0/3,,,on/off,1.1.10,interruptorPasillos,
262,-,-,Sala vip,192.168.4.214,2/1/0,,,on/off,1.1.11,interruptorDescanso,
263,-,-,Sala vip,192.168.4.214,2/1/2,,,on/off,1.1.11,interruptorDescanso,
264,-,-,Sala vip,192.168.4.214,2/1/1,,,on/off,1.1.11,interruptorDescanso,
265,-,-,Sala vip,192.168.4.214,2/1/3,,,on/off,1.1.11,interruptorDescanso,
266,-,-,Sala vip,192.168.4.214,0/0/1,,,on/off,1.1.12,rs232,
267,-,-,Sala vip,192.168.4.214,0/0/2,,,on/off,1.1.12,rs232,
268,-,-,Sala vip,192.168.4.214,0/0/3,,,on/off,1.1.12,rs232,
269,-,-,Sala vip,192.168.4.214,2/3/0,,,on/off,1.1.13,interruptorCafe,
270,-,-,Sala vip,192.168.4.214,2/3/2,,,on/off,1.1.13,interruptorCafe,
271,-,-,Sala vip,192.168.4.214,2/3/1,,,on/off,1.1.13,interruptorCafe,
272,-,-,Sala vip,192.168.4.214,2/3/3,,,on/off,1.1.13,interruptorCafe,
273,-,-,Sala vip,192.168.4.214,7/0/0,,,on/off,1.1.14,14,
274,-,-,Sala vip,192.168.4.214,7/0/1,,,on/off,1.1.14,14,
275,-,-,Sala vip,192.168.4.214,7/0/2,,,on/off,1.1.14,14,
276,-,-,Sala vip,192.168.4.214,7/0/3,,,on/off,1.1.14,14,
277,-,-,Sala vip,192.168.4.214,7/0/4,,,on/off,1.1.14,14,
278,-,-,Sala vip,192.168.4.214,7/0/5,,,on/off,1.1.14,14,
279,-,-,Sala vip,192.168.4.214,7/0/6,,,on/off,1.1.14,14,
280,-,-,Sala vip,192.168.4.214,7/0/7,,,on/off,1.1.14,14,
281,-,-,Sala vip,192.168.4.214,7/0/8,,,on/off,1.1.14,14,
282,-,-,Sala vip,192.168.4.214,7/0/9,,,on/off,1.1.14,14,
283,-,-,Sala vip,192.168.4.214,7/0/10,,,on/off,1.1.14,14,
284,-,-,Sala vip,192.168.4.214,7/0/11,,,on/off,1.1.14,14,
285,-,-,Sala vip,192.168.4.214,7/0/12,,,on/off,1.1.14,14,
286,-,-,Sala vip,192.168.4.214,7/0/13,,,on/off,1.1.14,14,
287,-,-,Sala vip,192.168.4.214,7/0/14,,,on/off,1.1.14,14,
288,-,-,Sala vip,192.168.4.214,7/0/15,,,on/off,1.1.14,14,
289,-,-,Sala vip,192.168.4.214,7/0/16,,,on/off,1.1.14,14,
290,-,-,Sala vip,192.168.4.214,7/0/17,,,on/off,1.1.14,14,
291,-,-,Sala vip,192.168.4.214,7/0/18,,,on/off,1.1.14,14,
292,-,-,Sala vip,192.168.4.214,7/0/19,,,on/off,1.1.14,14,
293,-,-,Sala vip,192.168.4.214,7/0/20,,,on/off,1.1.14,14,
294,-,-,Sala vip,192.168.4.214,7/0/21,,,on/off,1.1.14,14,
295,-,-,Sala vip,192.168.4.214,7/0/22,,,on/off,1.1.14,14,
296,-,-,Sala vip,192.168.4.214,7/0/23,,,on/off,1.1.14,14,
297,-,-,Sala vip,192.168.4.214,2/2/0,,,on/off,1.1.17,interruptorDescanso,
298,-,-,Sala vip,192.168.4.214,2/2/2,,,on/off,1.1.17,interruptorDescanso,
299,-,-,Sala vip,192.168.4.214,2/2/1,,,on/off,1.1.17,interruptorDescanso,
300,-,-,Sala vip,192.168.4.214,2/2/3,,,on/off,1.1.17,interruptorDescanso,
301,-,-,Sala vip,192.168.4.214,23/7/2,,,on/off,1.1.20,ms04,
302,-,-,Sala vip,192.168.4.214,23/7/1,,,on/off,1.1.20,ms04,
303,-,-,Sala vip,192.168.4.214,8/0/0,,,on/off,1.1.21,21,
304,-,-,Sala vip,192.168.4.214,8/0/1,,,on/off,1.1.21,21,
305,-,-,Sala vip,192.168.4.214,8/0/2,,,on/off,1.1.21,21,
306,-,-,Sala vip,192.168.4.214,8/0/3,,,on/off,1.1.21,21,
307,-,-,Sala vip,192.168.4.214,8/0/4,,,on/off,1.1.21,21,
308,-,-,Sala vip,192.168.4.214,8/0/5,,,on/off,1.1.21,21,
309,-,-,Sala vip,192.168.4.214,8/0/6,,,on/off,1.1.21,21,
310,-,-,Sala vip,192.168.4.214,8/0/7,,,on/off,1.1.21,21,
311,-,-,Sala vip,192.168.4.214,8/0/8,,,on/off,1.1.21,21,
312,-,-,Sala vip,192.168.4.214,8/0/9,,,on/off,1.1.21,21,
313,-,-,Sala vip,192.168.4.214,8/0/10,,,on/off,1.1.21,21,
314,-,-,Sala vip,192.168.4.214,8/0/11,,,on/off,1.1.21,21,
315,-,-,Sala vip,192.168.4.214,8/0/12,,,on/off,1.1.21,21,
